Position (Up)[Length:m],Value (Up)[Velocity:m/sec]
-0.0399999991059303,34.5792007446289
-0.0399027653038502,46.4886245727539
-0.03980553150177,61.684196472168
-0.0397082976996899,66.9639129638672
-0.0396110638976097,70.01953125
-0.0395138263702393,71.902946472168
-0.0394165925681591,73.2779693603516
-0.0393193587660789,74.3593292236328
-0.0392221212387085,75.3974380493164
-0.0391248911619186,76.3940353393555
-0.0390276573598385,77.2828750610352
-0.0389304235577583,78.0498123168945
-0.0388331860303879,78.7781448364258
-0.0387359522283077,79.4796295166016
-0.0386387184262276,80.1233291625977
-0.0385414846241474,80.7252578735352
-0.0384442508220673,81.2876968383789
-0.0383470207452774,81.8031005859375
-0.0382497794926167,82.32470703125
-0.0381525456905365,82.8998641967773
-0.0380553118884563,83.4906768798828
-0.0379580780863762,83.9917144775391
-0.037860844284296,84.3708801269531
-0.0377636104822159,84.7217102050781
-0.0376663766801357,85.1264495849609
-0.0374719053506851,85.9078140258789
-0.0372774377465248,86.6927185058594
-0.0370829701423645,87.5152587890625
-0.0368884988129139,88.3236846923828
-0.0366940312087536,89.0686187744141
-0.0364995636045933,89.7437362670898
-0.0363050922751427,90.3426818847656
-0.0361106246709824,90.8628997802734
-0.0359161570668221,91.2935180664062
-0.0357216857373714,91.6705780029297
-0.0355272181332111,92.1238403320312
-0.0353327505290508,92.780403137207
-0.0349438115954399,93.8848495483398
-0.0345548763871193,94.9241027832031
-0.0341659374535084,95.9314498901367
-0.0337769985198975,96.89013671875
-0.0333880633115768,97.7620239257812
-0.0329991243779659,98.6012573242188
-0.0326101891696453,99.4630279541016
-0.0322212502360344,100.313865661621
-0.0318323113024235,101.094223022461
-0.0314433760941029,101.851554870605
-0.0310544371604919,102.687767028809
-0.0306655000895262,103.658187866211
-0.0298876240849495,105.274436950684
-0.029109749943018,106.701164245605
-0.0283318758010864,107.927810668945
-0.0275539997965097,108.930946350098
-0.0267761275172234,109.739372253418
-0.0259982515126467,110.378494262695
-0.02522037550807,110.827407836914
-0.0244425013661385,111.121879577637
-0.0236646272242069,111.363342285156
-0.0228867493569851,111.63410949707
-0.0221088752150536,111.948921203613
-0.0213309992104769,112.225692749023
-0.0197752509266138,112.406951904297
-0.0182195007801056,112.306594848633
-0.0174416247755289,112.124542236328
-0.0166637506335974,111.938095092773
-0.0158858746290207,111.820114135742
-0.0151080004870892,111.73412322998
-0.0143301263451576,111.566390991211
-0.0135522503405809,111.247573852539
-0.0127743761986494,110.792343139648
